A,B,C,D,E,F,G
d,a,a,c,b,a,b
d,a,a,c,b,a,e
d,a,a,d,b,c,a
d,a,b,d,c,d,e
d,a,b,d,c,d,d
d,a,b,b,c,d,e
d,a,b,b,c,c,e
d,a,c,b,c,c,f
d,a,c,b,c,c,e
d,a,c,b,c,c,b
d,a,c,b,c,d,b
d,a,c,b,d,d,a
d,a,c,a,d,d,e
d,a,d,a,d,d,c
d,a,d,a,d,c,a
d,a,d,b,c,c,e
d,a,d,b,c,b,b
d,a,e,b,c,b,c
d,a,e,b,c,b,f
d,a,e,b,c,a,b
e,a,a,b,b,a,d
e,a,a,b,b,a,b
e,a,a,b,b,a,d
e,a,a,b,b,a,a
e,a,a,b,b,a,d
e,a,a,b,b,a,c
e,a,a,b,b,c,f
e,a,b,b,c,d,b
e,a,b,a,c,d,c
e,a,b,b,d,d,e
e,a,b,b,c,c,e
e,a,c,b,c,c,c
e,a,c,b,c,c,b
e,a,c,a,c,a,f
e,a,c,b,c,d,d
e,a,c,b,d,d,a
e,a,c,a,d,d,f
e,a,d,a,d,d,e
e,a,d,a,d,d,f
e,a,d,b,c,c,c
e,a,d,b,c,b,a
e,a,e,b,c,b,b
e,a,e,b,c,b,b
e,a,e,b,c,b,a
f,a,a,b,b,a,b
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,d
f,a,a,b,b,a,c
f,a,a,b,b,b,c
f,a,b,b,b,c,e
f,a,b,b,b,d,c
f,a,b,b,b,c,b
f,a,b,b,b,c,b
f,a,c,b,b,c,b
f,a,c,b,b,d,c
f,a,c,b,b,d,c
f,a,c,b,b,d,a
f,a,c,b,b,d,f
f,a,c,b,b,d,e
f,a,d,b,b,d,c
f,a,d,b,b,c,b
f,a,d,b,b,c,e
f,a,d,b,b,b,c
f,a,e,b,b,b,c
f,a,e,b,b,b,d
f,a,e,b,b,b,a
g,b,a,b,b,a,d
g,b,a,b,b,a,b
g,b,a,b,b,a,d
g,b,a,b,a,a,a
g,b,a,b,a,a,a
g,b,a,b,a,a,c
g,b,a,b,b,a,b
g,b,b,b,b,a,e
g,b,b,b,b,b,b
g,b,b,b,b,b,b
g,b,b,b,b,c,c
g,b,c,b,b,c,e
g,b,c,b,b,c,e
g,b,c,b,b,d,d
g,b,c,b,b,c,d
g,b,c,b,b,c,a
g,b,c,b,b,c,f
g,b,d,b,b,c,a
g,b,d,b,b,c,c
g,b,d,b,b,b,c
g,b,d,b,b,b,a
g,b,e,b,b,b,a
g,b,e,b,b,b,f
g,b,e,b,b,b,e
